week_ending,area_name,count,average_2018_2019,variation
2020-01-05,Aberdeen City,7869,7859.5,0.1
2020-01-05,Aberdeenshire,9237,10934,-15.5
2020-01-05,Angus,4615,5475.5,-15.7
2020-01-05,Argyll and Bute,6104,6417,-4.9
2020-01-05,Clackmannanshire,6930,7955,-12.9
2020-01-05,Dumfries and Galloway,9546,10414,-8.3
2020-01-05,Dundee City,6980,7821,-10.8
2020-01-05,East Ayrshire,7301,8238.5,-11.4
2020-01-05,East Dunbartonshire,5174,5945.5,-13
2020-01-05,East Lothian,4351,4836.5,-10
2020-01-05,East Renfrewshire,4089,4401.5,-7.1
2020-01-05,City of Edinburgh,16025,17904,-10.5
2020-01-05,Falkirk,8322,9170,-9.2
2020-01-05,Fife,17295,18376,-5.9
2020-01-05,Glasgow City,33353,35192,-5.2
2020-01-05,Highland,10353,12020.5,-13.9
2020-01-05,Inverclyde,5019,5118.5,-1.9
2020-01-05,Midlothian,3948,4128,-4.4
2020-01-05,Moray,3382,3832,-11.7
2020-01-05,Dumfries and Galloway,9546,10414,-8.3
2020-01-05,Fife,17295,18376,-5.9
2020-01-05,Highland,16457,18437.5,-10.7
2020-01-05,Na h-Eileanan Siar,884,858.5,3
2020-01-05,North Ayrshire,7545,9484.5,-20.4
2020-01-05,North Lanarkshire,20067,21726.5,-7.6
2020-01-05,Orkney Islands,730,854,-14.5
2020-01-05,Perth and Kinross,6113,7321.5,-16.5
2020-01-05,Renfrewshire,10187,10655.5,-4.4
2020-01-05,Scottish Borders,7261,6935,4.7
2020-01-05,Shetland Islands,1353,1291.5,4.8
2020-01-05,South Ayrshire,6340,7227,-12.3
2020-01-05,South Lanarkshire,18636,20201.5,-7.7
2020-01-05,West Dunbartonshire,5688,6281.5,-9.4
2020-01-05,West Lothian,7691,9112,-15.6
2020-01-05,Na h-Eileanan Siar,884,858.5,3
2020-01-12,Aberdeen City,14570,13968,4.3
2020-01-12,Aberdeenshire,17872,17207,3.9
2020-01-12,Angus,8295,9443,-12.2
2020-01-12,Argyll and Bute,10607,10434.5,1.7
2020-01-12,Clackmannanshire,12389,12922.5,-4.1
2020-01-12,Dumfries and Galloway,16858,15666.5,7.6
2020-01-12,Dundee City,13179,13144,0.3
2020-01-12,East Ayrshire,13650,12536,8.9
2020-01-12,East Dunbartonshire,9861,9378.5,5.1
2020-01-12,East Lothian,7856,7589,3.5
2020-01-12,East Renfrewshire,7796,7178,8.6
2020-01-12,City of Edinburgh,30267,28464.5,6.3
2020-01-12,Falkirk,14775,14440.5,2.3
2020-01-12,Fife,33216,31328,6
2020-01-12,Glasgow City,60372,55644.5,8.5
2020-01-12,Highland,19372,19223.5,0.8
2020-01-12,Inverclyde,8806,8771,0.4
2020-01-12,Midlothian,7255,6730.5,7.8
2020-01-12,Moray,6457,6427,0.5
2020-01-12,Dumfries and Galloway,16858,15666.5,7.6
2020-01-12,Fife,33216,31328,6
2020-01-12,Highland,29979,29658,1.1
2020-01-12,Na h-Eileanan Siar,1758,1651.5,6.4
2020-01-12,North Ayrshire,14871,14805.5,0.4
2020-01-12,North Lanarkshire,35621,34830.5,2.3
2020-01-12,Orkney Islands,1748,1687,3.6
2020-01-12,Perth and Kinross,11620,11502,1
2020-01-12,Renfrewshire,18007,16314.5,10.4
2020-01-12,Scottish Borders,11575,10769,7.5
2020-01-12,Shetland Islands,2530,2244,12.7
2020-01-12,South Ayrshire,12242,11623,5.3
2020-01-12,South Lanarkshire,33619,32333.5,4
2020-01-12,West Dunbartonshire,10102,10289,-1.8
2020-01-12,West Lothian,14184,14655.5,-3.2
2020-01-12,Na h-Eileanan Siar,1758,1651.5,6.4
2020-01-19,Aberdeen City,12393,12961,-4.4
2020-01-19,Aberdeenshire,15443,15732.5,-1.8
2020-01-19,Angus,7528,8654.5,-13
2020-01-19,Argyll and Bute,9658,9550,1.1
2020-01-19,Clackmannanshire,11313,12388,-8.7
2020-01-19,Dumfries and Galloway,15438,14984.5,3
2020-01-19,Dundee City,12154,12204,-0.4
2020-01-19,East Ayrshire,12443,11740.5,6
2020-01-19,East Dunbartonshire,9332,9189,1.6
2020-01-19,East Lothian,7511,7581.5,-0.9
2020-01-19,East Renfrewshire,6993,7191.5,-2.8
2020-01-19,City of Edinburgh,28702,27316.5,5.1
2020-01-19,Falkirk,13545,13273,2
2020-01-19,Fife,29335,29239.5,0.3
2020-01-19,Glasgow City,54254,52590,3.2
2020-01-19,Highland,17585,18818.5,-6.6
2020-01-19,Inverclyde,8141,8370,-2.7
2020-01-19,Midlothian,6412,6737.5,-4.8
2020-01-19,Moray,5924,6177,-4.1
2020-01-19,Dumfries and Galloway,15438,14984.5,3
2020-01-19,Fife,29335,29239.5,0.3
2020-01-19,Highland,27243,28368.5,-4
2020-01-19,Na h-Eileanan Siar,1329,1391,-4.5
2020-01-19,North Ayrshire,14183,14294,-0.8
2020-01-19,North Lanarkshire,32367,31297,3.4
2020-01-19,Orkney Islands,1448,1576,-8.1
2020-01-19,Perth and Kinross,10522,10752,-2.1
2020-01-19,Renfrewshire,16706,16204,3.1
2020-01-19,Scottish Borders,10192,9850,3.5
2020-01-19,Shetland Islands,2333,2057.5,13.4
2020-01-19,South Ayrshire,11619,11123,4.5
2020-01-19,South Lanarkshire,31656,30584.5,3.5
2020-01-19,West Dunbartonshire,8653,9042.5,-4.3
2020-01-19,West Lothian,14394,13021.5,10.5
2020-01-19,Na h-Eileanan Siar,1329,1391,-4.5
2020-01-26,Aberdeen City,12793,12888.5,-0.7
2020-01-26,Aberdeenshire,15580,16225,-4
2020-01-26,Angus,7122,8149.5,-12.6
2020-01-26,Argyll and Bute,9623,9818.5,-2
2020-01-26,Clackmannanshire,11661,12121,-3.8
2020-01-26,Dumfries and Galloway,14350,14176.5,1.2
2020-01-26,Dundee City,11105,11907.5,-6.7
2020-01-26,East Ayrshire,11904,11940.5,-0.3
2020-01-26,East Dunbartonshire,9270,9064,2.3
2020-01-26,East Lothian,7354,7094,3.7
