date,area,data_set,variable,measurement,value,population,square_km,people_per_square_km
2020-04-11,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,324,306640,2643.3061000000002,116.00623930766095
2020-04-10,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,302,306640,2643.3061000000002,116.00623930766095
2020-04-13,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,352,306640,2643.3061000000002,116.00623930766095
2020-04-12,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,337,306640,2643.3061000000002,116.00623930766095
2020-04-07,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,243,306640,2643.3061000000002,116.00623930766095
2020-04-06,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,231,306640,2643.3061000000002,116.00623930766095
2020-04-09,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,280,306640,2643.3061000000002,116.00623930766095
2020-04-08,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,259,306640,2643.3061000000002,116.00623930766095
2020-04-19,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,509,306640,2643.3061000000002,116.00623930766095
2020-04-18,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,451,306640,2643.3061000000002,116.00623930766095
2020-04-21,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,562,306640,2643.3061000000002,116.00623930766095
2020-04-20,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,542,306640,2643.3061000000002,116.00623930766095
2020-04-15,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,380,306640,2643.3061000000002,116.00623930766095
2020-04-14,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,367,306640,2643.3061000000002,116.00623930766095
2020-04-17,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,431,306640,2643.3061000000002,116.00623930766095
2020-04-16,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,400,306640,2643.3061000000002,116.00623930766095
2020-03-27,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,81,306640,2643.3061000000002,116.00623930766095
2020-03-26,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,75,306640,2643.3061000000002,116.00623930766095
2020-03-29,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,94,306640,2643.3061000000002,116.00623930766095
2020-03-28,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,94,306640,2643.3061000000002,116.00623930766095
2020-03-23,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,40,306640,2643.3061000000002,116.00623930766095
2020-03-22,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,30,306640,2643.3061000000002,116.00623930766095
2020-03-25,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,59,306640,2643.3061000000002,116.00623930766095
