date_code,value,variable,official_name
2020-03-19,27,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-20,31,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-18,24,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-22,38,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-21,34,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-15,15,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-14,11,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-17,20,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-16,17,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-28,127,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-29,141,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-27,107,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-31,214,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-30,177,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-24,48,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-23,47,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-26,76,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-25,57,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-24,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-25,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-23,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-27,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-26,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-20,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-19,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-22,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-21,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-11,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-13,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-12,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-28,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-23,1159,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-24,1199,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-22,1124,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-26,1251,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-25,1224,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-19,1056,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-18,1022,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-21,1084,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-20,1071,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-02,1392,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-03,1410,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-01,1379,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-05,1429,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-04,1411,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-28,1273,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-27,1261,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-30,1349,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-29,1313,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-06,499,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-07,516,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-05,457,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-09,667,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-08,586,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-02,307,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-01,254,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-04,410,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-03,353,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-15,898,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-14,826,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
