week_ending,area_name,count,average_2018_2019,variation
05 Jan 20,Aberdeen City,7869,7859.5,0.1
05 Jan 20,Aberdeenshire,9237,10934,-15.5
05 Jan 20,Angus,4615,5475.5,-15.7
05 Jan 20,Argyll & Bute,6104,6417,-4.9
05 Jan 20,Clackmannanshire & Stirling,6930,7955,-12.9
05 Jan 20,Dumfries & Galloway,9546,10414,-8.3
05 Jan 20,Dundee City,6980,7821,-10.8
05 Jan 20,East Ayrshire,7301,8238.5,-11.4
05 Jan 20,East Dunbartonshire,5174,5945.5,-13
05 Jan 20,East Lothian,4351,4836.5,-10
05 Jan 20,East Renfrewshire,4089,4401.5,-7.1
05 Jan 20,Edinburgh,16025,17904,-10.5
05 Jan 20,Falkirk,8322,9170,-9.2
05 Jan 20,Fife,17295,18376,-5.9
05 Jan 20,Glasgow City,33353,35192,-5.2
05 Jan 20,Highland,10353,12020.5,-13.9
05 Jan 20,Inverclyde,5019,5118.5,-1.9
05 Jan 20,Midlothian,3948,4128,-4.4
05 Jan 20,Moray,3382,3832,-11.7
05 Jan 20,NHS Ayrshire & Arran,21186,24950,-15.1
05 Jan 20,NHS Borders,7261,6935,4.7
05 Jan 20,NHS Dumfries & Galloway,9546,10414,-8.3
05 Jan 20,NHS Fife,17295,18376,-5.9
05 Jan 20,NHS Forth Valley,15252,17125,-10.9
05 Jan 20,NHS Grampian,20488,22625.5,-9.4
05 Jan 20,NHS Greater Glasgow & Clyde,63528,67615,-6
05 Jan 20,NHS Highland,16457,18437.5,-10.7
05 Jan 20,NHS Lanarkshire,38703,41928,-7.7
05 Jan 20,NHS Lothian,32015,35980.5,-11
05 Jan 20,NHS Orkney,730,854,-14.5
05 Jan 20,NHS Shetland,1353,1291.5,4.8
05 Jan 20,NHS Tayside,17708,20618,-14.1
05 Jan 20,NHS Western Isles,884,858.5,3
05 Jan 20,North Ayrshire,7545,9484.5,-20.4
05 Jan 20,North Lanarkshire,20067,21726.5,-7.6
05 Jan 20,Orkney Islands,730,854,-14.5
05 Jan 20,Perth & Kinross,6113,7321.5,-16.5
05 Jan 20,Renfrewshire,10187,10655.5,-4.4
05 Jan 20,Scotland,262406,288008.5,-8.9
05 Jan 20,Scottish Borders,7261,6935,4.7
05 Jan 20,Shetland Islands,1353,1291.5,4.8
05 Jan 20,South Ayrshire,6340,7227,-12.3
05 Jan 20,South Lanarkshire,18636,20201.5,-7.7
05 Jan 20,West Dunbartonshire,5688,6281.5,-9.4
05 Jan 20,West Lothian,7691,9112,-15.6
05 Jan 20,Western Isles,884,858.5,3
12 Jan 20,Aberdeen City,14570,13968,4.3
12 Jan 20,Aberdeenshire,17872,17207,3.9
12 Jan 20,Angus,8295,9443,-12.2
12 Jan 20,Argyll & Bute,10607,10434.5,1.7
12 Jan 20,Clackmannanshire & Stirling,12389,12922.5,-4.1
12 Jan 20,Dumfries & Galloway,16858,15666.5,7.6
12 Jan 20,Dundee City,13179,13144,0.3
12 Jan 20,East Ayrshire,13650,12536,8.9
12 Jan 20,East Dunbartonshire,9861,9378.5,5.1
12 Jan 20,East Lothian,7856,7589,3.5
12 Jan 20,East Renfrewshire,7796,7178,8.6
12 Jan 20,Edinburgh,30267,28464.5,6.3
12 Jan 20,Falkirk,14775,14440.5,2.3
12 Jan 20,Fife,33216,31328,6
12 Jan 20,Glasgow City,60372,55644.5,8.5
12 Jan 20,Highland,19372,19223.5,0.8
12 Jan 20,Inverclyde,8806,8771,0.4
12 Jan 20,Midlothian,7255,6730.5,7.8
12 Jan 20,Moray,6457,6427,0.5
12 Jan 20,NHS Ayrshire & Arran,40763,38966,4.6
12 Jan 20,NHS Borders,11575,10769,7.5
12 Jan 20,NHS Dumfries & Galloway,16858,15666.5,7.6
12 Jan 20,NHS Fife,33216,31328,6
12 Jan 20,NHS Forth Valley,27164,27363,-0.7
12 Jan 20,NHS Grampian,38899,37602,3.4
12 Jan 20,NHS Greater Glasgow & Clyde,114969,107592.5,6.9
12 Jan 20,NHS Highland,29979,29658,1.1
12 Jan 20,NHS Lanarkshire,69240,67164,3.1
12 Jan 20,NHS Lothian,59562,57439.5,3.7
12 Jan 20,NHS Orkney,1748,1687,3.6
12 Jan 20,NHS Shetland,2530,2244,12.7
12 Jan 20,NHS Tayside,33094,34089,-2.9
12 Jan 20,NHS Western Isles,1758,1651.5,6.4
12 Jan 20,North Ayrshire,14871,14805.5,0.4
12 Jan 20,North Lanarkshire,35621,34830.5,2.3
12 Jan 20,Orkney Islands,1748,1687,3.6
12 Jan 20,Perth & Kinross,11620,11502,1
12 Jan 20,Renfrewshire,18007,16314.5,10.4
12 Jan 20,Scotland,481355,463220,3.9
12 Jan 20,Scottish Borders,11575,10769,7.5
12 Jan 20,Shetland Islands,2530,2244,12.7
12 Jan 20,South Ayrshire,12242,11623,5.3
12 Jan 20,South Lanarkshire,33619,32333.5,4
12 Jan 20,West Dunbartonshire,10102,10289,-1.8
12 Jan 20,West Lothian,14184,14655.5,-3.2
12 Jan 20,Western Isles,1758,1651.5,6.4
19 Jan 20,Aberdeen City,12393,12961,-4.4
