date,areaname,count
2020,West Dunbartonshire,123
2020,West Lothian,94
2020,Clackmannanshire,47
2020,Dumfries and Galloway,47
2020,East Ayrshire,75
2020,East Lothian,80
2020,East Renfrewshire,100
2020,Na h-Eileanan Siar,0
2020,Falkirk,134
2020,Highland,50
2020,Inverclyde,116
2020,Midlothian,117
2020,Moray,20
2020,North Ayrshire,106
2020,Orkney Islands,2
2020,Scottish Borders,72
2020,Shetland Islands,7
2020,South Ayrshire,112
2020,South Lanarkshire,312
2020,Stirling,55
2020,Aberdeen City,122
2020,Aberdeenshire,116
2020,Argyll and Bute,64
2020,City of Edinburgh,422
2020,Renfrewshire,205
2020,Angus,75
2020,Dundee City,166
2020,East Dunbartonshire,137
2020,Fife,200
2020,Perth and Kinross,69
2020,Glasgow City,643
2020,North Lanarkshire,267

