Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S12000005,Clackmannanshire,0,0,0,0,0,0,0,13,25.2231276678308
20200228,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,21,14.1072148327287
20200228,S12000008,East Ayrshire,0,0,0,0,0,0,0,10,8.196049504139
20200228,S12000010,East Lothian,0,0,0,0,0,0,0,13,12.1393220655523
20200228,S12000011,East Renfrewshire,0,0,0,0,0,0,0,6,6.280749502774
20200228,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,1,3.74251497005988
20200228,S12000014,Falkirk,0,0,0,0,0,0,0,25,15.5385667226055
20200228,S12000017,Highland,0,0,0,0,0,0,0,31,13.1450621210194
20200228,S12000018,Inverclyde,0,0,0,0,0,0,0,7,8.9974293059126
20200228,S12000019,Midlothian,0,0,0,0,0,0,0,16,17.3047804455981
20200228,S12000020,Moray,0,0,0,0,0,0,0,10,10.436234606554
20200228,S12000021,North Ayrshire,0,0,0,0,0,0,0,15,11.1325515808223
20200228,S12000023,Orkney Islands,0,0,0,0,0,0,0,7,31.4324202963628
20200228,S12000026,Scottish Borders,0,0,0,0,0,0,0,26,22.5088736905896
20200228,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0
20200228,S12000028,South Ayrshire,0,0,0,0,0,0,0,3,2.6640618062339
20200228,S12000029,South Lanarkshire,0,0,0,0,0,0,0,27,8.42354849780052
20200228,S12000030,Stirling,0,0,0,0,0,0,0,23,24.4135442097442
20200228,S12000033,Aberdeen City,0,0,0,0,0,0,0,39,17.0551449687322
20200228,S12000034,Aberdeenshire,0,0,0,0,0,0,0,35,13.3991807358064
20200228,S12000035,Argyll & Bute,0,0,0,0,0,0,0,3,3.49365319669268
20200228,S12000036,City of Edinburgh,0,0,0,0,0,0,0,126,24.0032004267236
20200228,S12000038,Renfrewshire,0,0,0,0,0,0,0,17,9.49190396426577
20200228,S12000039,West Dunbartonshire,0,0,0,0,0,0,0,7,7.87135949623299
20200228,S12000040,West Lothian,0,0,0,0,0,0,0,28,15.2921900600765
20200228,S12000041,Angus,1,1,0.860585197934596,0.0333333333333333,0,0,0,29,24.9569707401033
20200228,S12000042,Dundee City,0,0,0,0,0,0,0,21,14.0637556924725
20200228,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,10,9.20471281296023
20200228,S12000047,Fife,0,0,0,0,0,0,0,66,17.6683174943113
20200228,S12000048,Perth & Kinross,0,0,0,0,0,0,0,28,18.4271141822968
20200228,S12000049,Glasgow City,0,0,0,0,0,0,0,70,11.05635582512
20200228,S12000050,North Lanarkshire,0,0,0,0,0,0,0,30,8.78811846383689
20200229,S12000005,Clackmannanshire,0,0,0,0,0,0,0,13,25.2231276678308
20200229,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,28,18.8096197769717
20200229,S12000008,East Ayrshire,0,0,0,0,0,0,0,11,9.01565445455291
20200229,S12000010,East Lothian,0,0,0,0,0,0,0,14,13.0731160705948
20200229,S12000011,East Renfrewshire,0,0,0,0,0,0,0,6,6.280749502774
20200229,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,1,3.74251497005988
20200229,S12000014,Falkirk,0,0,0,0,0,0,0,32,19.889365404935
20200229,S12000017,Highland,0,0,0,0,0,0,0,34,14.4171649069245
20200229,S12000018,Inverclyde,0,0,0,0,0,0,0,8,10.2827763496144
20200229,S12000019,Midlothian,0,0,0,0,0,0,0,16,17.3047804455981
20200229,S12000020,Moray,0,0,0,0,0,0,0,11,11.4798580672094
20200229,S12000021,North Ayrshire,0,0,0,0,0,0,0,17,12.6168917915986
20200229,S12000023,Orkney Islands,0,0,0,0,0,0,0,7,31.4324202963628
20200229,S12000026,Scottish Borders,0,0,0,0,0,0,0,28,24.2403255129426
20200229,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0
20200229,S12000028,South Ayrshire,0,0,0,0,0,0,0,4,3.55208240831187
20200229,S12000029,South Lanarkshire,0,0,0,0,0,0,0,31,9.67148160858578
