Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S08000015,0,0,0,0,0,0,0,30,8.12215724496426
20200228,S08000016,0,0,0,0,0,0,0,26,22.5088736905896
20200228,S08000017,0,0,0,0,0,0,0,21,14.1072148327287
20200228,S08000019,0,0,0,0,0,0,0,63,20.5452648056353
20200228,S08000020,0,0,0,0,0,0,0,91,15.5369643162028
20200228,S08000022,0,0,0,0,0,0,0,36,11.1905502020516
20200228,S08000024,0,0,0,0,0,0,0,193,21.2653430000661
20200228,S08000025,0,0,0,0,0,0,0,7,31.4324202963628
20200228,S08000026,0,0,0,0,0,0,0,0,0
20200228,S08000028,0,0,0,0,0,0,0,1,3.74251497005988
20200228,S08000029,0,0,0,0,0,0,0,66,17.6683174943113
20200228,S08000030,1,1,0.239538170407454,0.0113636363636364,0,0,0,87,20.8398208254485
20200228,S08000031,0,0,0,0,0,0,0,119,10.0581513286902
20200228,S08000032,0,0,0,0,0,0,0,58,8.76265296872639
20200229,S08000015,0,0,0,0,0,0,0,34,9.20511154429283
20200229,S08000016,0,0,0,0,0,0,0,28,24.2403255129426
20200229,S08000017,0,0,0,0,0,0,0,28,18.8096197769717
20200229,S08000019,0,0,0,0,0,0,0,71,23.1541873206366
20200229,S08000020,0,0,0,0,0,0,0,96,16.390643674236
20200229,S08000022,0,0,0,0,0,0,0,39,12.1230960522226
20200229,S08000024,0,0,0,0,0,0,0,198,21.8162586218295
20200229,S08000025,0,0,0,0,0,0,0,7,31.4324202963628
20200229,S08000026,0,0,0,0,0,0,0,0,0
20200229,S08000028,0,0,0,0,0,0,0,1,3.74251497005988
20200229,S08000029,0,0,0,0,0,0,0,71,19.0068263953955
20200229,S08000030,0,1,0.239538170407454,0.0112359550561798,0,0,0,88,21.079358995856
20200229,S08000031,0,0,0,0,0,0,0,139,11.7485969301508
20200229,S08000032,0,0,0,0,0,0,0,67,10.122374981115
20200301,S08000015,0,0,0,0,0,0,0,41,11.1002815681178
20200301,S08000016,0,0,0,0,0,0,0,30,25.9717773352956
20200301,S08000017,0,0,0,0,0,0,0,32,21.496708316539
20200301,S08000019,1,1,0.326115314375163,0.0131578947368421,0,0,0,75,24.4586485781372
20200301,S08000020,1,1,0.170735871606625,0.00980392156862745,0,0,0,101,17.2443230322691
20200301,S08000022,0,0,0,0,0,0,0,40,12.4339446689462
20200301,S08000024,0,0,0,0,0,0,0,217,23.9097379845303
20200301,S08000025,0,0,0,0,0,0,0,7,31.4324202963628
20200301,S08000026,0,0,0,0,0,0,0,0,0
20200301,S08000028,0,0,0,0,0,0,0,1,3.74251497005988
20200301,S08000029,0,0,0,0,0,0,0,72,19.2745281756124
20200301,S08000030,0,1,0.239538170407454,0.0108695652173913,0,0,0,91,21.7979735070784
20200301,S08000031,0,0,0,0,0,0,0,166,14.0306984921225
20200301,S08000032,0,0,0,0,0,0,0,76,11.4820969935035
20200302,S08000015,1,1,0.270738574832142,0.02,0,0,0,49,13.266190166775
20200302,S08000016,0,0,0,0,0,0,0,33,28.5689550688252
20200302,S08000017,0,0,0,0,0,0,0,44,29.5579739352412
20200302,S08000019,0,1,0.326115314375163,0.0108695652173913,0,0,0,91,29.6764936081398
20200302,S08000020,0,1,0.170735871606625,0.00840336134453781,0,0,0,118,20.1468328495817
20200302,S08000022,0,0,0,0,0,0,0,42,13.0556419023935
20200302,S08000024,0,0,0,0,0,0,0,263,28.9781617047533
20200302,S08000025,0,0,0,0,0,0,0,7,31.4324202963628
20200302,S08000026,0,0,0,0,0,0,0,0,0
20200302,S08000028,0,0,0,0,0,0,0,1,3.74251497005988
20200302,S08000029,0,0,0,0,0,0,0,85,22.7546513184313
20200302,S08000030,0,1,0.239538170407454,0.0102040816326531,0,0,0,97,23.2352025295231
20200302,S08000031,0,0,0,0,0,0,0,234,19.7782135370884
20200302,S08000032,0,0,0,0,0,0,0,104,15.712343254268
20200303,S08000015,0,1,0.270738574832142,0.0149253731343284,0,0,0,66,17.8687459389214
20200303,S08000016,0,0,0,0,0,0,0,35,30.3004068911783
20200303,S08000017,0,0,0,0,0,0,0,54,36.2756952841596
20200303,S08000019,1,2,0.652230628750326,0.0181818181818182,0,0,0,108,35.2204539525176
