date,areaname,count
2020-03-07,Tayside,*
2020-03-07,Western Isles,*
2020-03-07,Orkney,*
2020-03-07,Ayrshire and Arran,*
2020-03-07,Highland,*
2020-03-07,Lanarkshire,*
2020-03-07,Borders,*
2020-03-07,Fife,*
2020-03-07,Forth Valley,*
2020-03-07,Shetland,*
2020-03-07,Dumfries and Galloway,*
2020-03-07,Grampian,*
2020-03-07,Lothian,*
2020-03-07,Greater Glasgow and Clyde,*
2020-03-08,Lothian,*
2020-03-08,Tayside,*
2020-03-08,Greater Glasgow and Clyde,*
2020-03-08,Fife,*
2020-03-08,Dumfries and Galloway,*
2020-03-08,Ayrshire and Arran,*
2020-03-08,Shetland,*
2020-03-08,Grampian,*
2020-03-08,Orkney,*
2020-03-08,Borders,*
2020-03-08,Highland,*
2020-03-08,Western Isles,*
2020-03-08,Forth Valley,*
2020-03-08,Lanarkshire,*
2020-03-09,Fife,*
2020-03-09,Forth Valley,*
2020-03-09,Orkney,*
2020-03-09,Lanarkshire,*
2020-03-09,Borders,*
2020-03-09,Grampian,*
2020-03-09,Highland,*
2020-03-09,Dumfries and Galloway,*
2020-03-09,Ayrshire and Arran,*
2020-03-09,Shetland,*
2020-03-09,Western Isles,*
2020-03-09,Greater Glasgow and Clyde,*
2020-03-09,Lothian,5
2020-03-09,Tayside,*
2020-03-10,Highland,*
2020-03-10,Borders,*
2020-03-10,Greater Glasgow and Clyde,*
2020-03-10,Orkney,*
2020-03-10,Tayside,*
2020-03-10,Grampian,6
2020-03-10,Ayrshire and Arran,*
2020-03-10,Western Isles,*
2020-03-10,Dumfries and Galloway,*
2020-03-10,Lothian,7
2020-03-10,Fife,*
2020-03-10,Lanarkshire,*
2020-03-10,Shetland,*
2020-03-10,Forth Valley,*
2020-03-11,Western Isles,*
2020-03-11,Tayside,*
2020-03-11,Forth Valley,*
2020-03-11,Grampian,6
2020-03-11,Ayrshire and Arran,*
2020-03-11,Fife,*
2020-03-11,Shetland,*
2020-03-11,Lanarkshire,*
2020-03-11,Dumfries and Galloway,*
2020-03-11,Orkney,*
2020-03-11,Lothian,8
2020-03-11,Borders,*
2020-03-11,Greater Glasgow and Clyde,5
2020-03-11,Highland,*
2020-03-12,Greater Glasgow and Clyde,10
2020-03-12,Borders,*
2020-03-12,Fife,*
2020-03-12,Shetland,6
2020-03-12,Orkney,*
2020-03-12,Ayrshire and Arran,*
2020-03-12,Lothian,11
2020-03-12,Forth Valley,6
2020-03-12,Western Isles,*
2020-03-12,Lanarkshire,7
2020-03-12,Highland,*
2020-03-12,Tayside,*
2020-03-12,Dumfries and Galloway,*
2020-03-12,Grampian,7
2020-03-13,Grampian,9
2020-03-13,Shetland,8
2020-03-13,Highland,*
2020-03-13,Orkney,*
2020-03-13,Western Isles,*
2020-03-13,Borders,*
2020-03-13,Greater Glasgow and Clyde,20
2020-03-13,Lanarkshire,7
2020-03-13,Lothian,19
2020-03-13,Fife,*
2020-03-13,Tayside,*
2020-03-13,Dumfries and Galloway,*
2020-03-13,Ayrshire and Arran,*
2020-03-13,Forth Valley,6
2020-03-14,Tayside,11
2020-03-14,Shetland,13
2020-03-14,Grampian,9
2020-03-14,Borders,5
2020-03-14,Lanarkshire,10
2020-03-14,Orkney,*
2020-03-14,Western Isles,*
2020-03-14,Highland,*
2020-03-14,Lothian,25
2020-03-14,Fife,6
2020-03-14,Greater Glasgow and Clyde,31
2020-03-14,Ayrshire and Arran,6
2020-03-14,Dumfries and Galloway,*
2020-03-14,Forth Valley,6
2020-03-15,Tayside,15
2020-03-15,Fife,7
2020-03-15,Forth Valley,10
2020-03-15,Lanarkshire,16
2020-03-15,Borders,7
2020-03-15,Dumfries and Galloway,*
2020-03-15,Shetland,13
2020-03-15,Grampian,12
2020-03-15,Highland,*
2020-03-15,Lothian,28
2020-03-15,Orkney,*
2020-03-15,Greater Glasgow and Clyde,39
2020-03-15,Western Isles,*
2020-03-15,Ayrshire and Arran,6
2020-03-16,Dumfries and Galloway,*
2020-03-16,Borders,7
2020-03-16,Fife,7
2020-03-16,Greater Glasgow and Clyde,44
2020-03-16,Ayrshire and Arran,6
2020-03-16,Highland,*
2020-03-16,Orkney,*
2020-03-16,Lothian,29
2020-03-16,Western Isles,*
2020-03-16,Lanarkshire,20
2020-03-16,Tayside,17
2020-03-16,Grampian,12
2020-03-16,Shetland,15
2020-03-16,Forth Valley,10
2020-03-17,Orkney,*
2020-03-17,Western Isles,*
