date,areaname,count
2020-06-30,Ayrshire and Arran,1255
2020-06-30,Ayrshire and Arran,1255
2020-06-29,Ayrshire and Arran,1255
2020-06-30,Borders,345
2020-06-29,Borders,345
2020-06-30,Borders,345
2020-06-30,Dumfries and Galloway,290
2020-06-30,Dumfries and Galloway,290
2020-06-29,Dumfries and Galloway,285
2020-06-30,Forth Valley,1070
2020-06-29,Forth Valley,1069
2020-06-30,Forth Valley,1070
2020-06-30,Grampian,1419
2020-06-29,Grampian,1419
2020-06-30,Grampian,1419
2020-06-30,Highland,375
2020-06-30,Highland,375
2020-06-29,Highland,375
2020-06-30,Lothian,3151
2020-06-30,Lothian,3151
2020-06-29,Lothian,3151
2020-06-30,Orkney,9
2020-06-29,Orkney,9
2020-06-30,Orkney,9
2020-06-29,Shetland,54
2020-06-30,Shetland,54
2020-06-30,Shetland,54
2020-06-29,Western Isles,7
2020-06-30,Western Isles,7
2020-06-30,Western Isles,7
2020-06-30,Fife,930
2020-06-29,Fife,930
2020-06-30,Fife,930
2020-06-30,Tayside,1769
2020-06-30,Tayside,1769
2020-06-29,Tayside,1768
2020-06-30,Greater Glasgow and Clyde,4853
2020-06-29,Greater Glasgow and Clyde,4851
2020-06-30,Greater Glasgow and Clyde,4853
2020-06-30,Lanarkshire,2724
2020-06-29,Lanarkshire,2723
2020-06-30,Lanarkshire,2724

