date,shortValue,count
2020-03-02,totalCases,815
2020-03-02,positiveCases,1
2020-03-03,totalCases,915
2020-03-03,positiveCases,1
2020-03-04,totalCases,1046
2020-03-04,positiveCases,3
2020-03-05,positiveCases,6
2020-03-05,totalCases,1256
2020-03-06,positiveCases,11
2020-03-06,totalCases,1525
2020-03-07,positiveCases,16
2020-03-07,totalCases,1680
2020-03-08,positiveCases,18
2020-03-08,totalCases,1957
2020-03-09,totalCases,2101
2020-03-09,positiveCases,23
2020-03-10,positiveCases,27
2020-03-10,totalCases,2234
2020-03-11,totalCases,2316
2020-03-11,positiveCases,36
2020-03-12,totalCases,2892
2020-03-12,positiveCases,60
2020-03-13,totalCases,3314
2020-03-13,positiveCases,85
2020-03-14,totalCases,3715
2020-03-14,positiveCases,121
2020-03-14,totalDeaths,1
2020-03-15,totalDeaths,1
2020-03-15,positiveCases,153
2020-03-15,totalCases,4240
2020-03-16,totalDeaths,1
2020-03-16,totalCases,4895
2020-03-16,positiveCases,171
2020-03-17,positiveCases,195
2020-03-17,totalCases,5246
2020-03-17,totalDeaths,2
2020-03-18,positiveCases,227
2020-03-18,totalDeaths,3
2020-03-18,totalCases,6091
2020-03-19,totalDeaths,6
2020-03-19,positiveCases,266
2020-03-19,totalCases,6772
2020-03-20,positiveCases,322
2020-03-20,totalDeaths,6
2020-03-20,totalCases,7550
2020-03-21,totalDeaths,7
2020-03-21,positiveCases,373
2020-03-21,totalCases,8259
2020-03-22,positiveCases,416
2020-03-22,totalCases,8679
2020-03-22,totalDeaths,10
2020-03-23,totalDeaths,14
2020-03-23,positiveCases,499
2020-03-23,totalCases,9364
2020-03-24,positiveCases,584
2020-03-24,totalDeaths,16
2020-03-24,totalCases,9968
2020-03-25,totalCases,10676
2020-03-25,totalDeaths,22
2020-03-25,positiveCases,719
2020-03-26,totalDeaths,25
2020-03-26,totalCases,11487
2020-03-26,positiveCases,894
2020-03-27,totalCases,12273
2020-03-27,totalDeaths,33
2020-03-27,positiveCases,1059
2020-03-28,positiveCases,1245
2020-03-28,totalCases,13133
2020-03-28,totalDeaths,40
2020-03-29,totalCases,13889
2020-03-29,totalDeaths,41
2020-03-29,positiveCases,1384
2020-03-30,positiveCases,1563
2020-03-30,totalDeaths,47
2020-03-30,totalCases,14624
