date,areaname,count
w/c 2020-03-16,East Renfrewshire,0
w/c 2020-03-16,Na h-Eileanan Siar,0
w/c 2020-03-16,East Lothian,0
w/c 2020-03-16,East Ayrshire,0
w/c 2020-03-16,Midlothian,0
w/c 2020-03-16,Inverclyde,0
w/c 2020-03-16,Falkirk,0
w/c 2020-03-16,Highland,1
w/c 2020-03-16,Dumfries and Galloway,0
w/c 2020-03-16,Clackmannanshire,0
w/c 2020-03-16,East Dunbartonshire,0
w/c 2020-03-16,Dundee City,0
w/c 2020-03-16,Fife,2
w/c 2020-03-16,West Lothian,1
w/c 2020-03-16,West Dunbartonshire,0
w/c 2020-03-16,Angus,0
w/c 2020-03-16,Glasgow City,1
w/c 2020-03-16,Perth and Kinross,0
w/c 2020-03-16,North Lanarkshire,0
w/c 2020-03-16,Shetland Islands,0
w/c 2020-03-16,Scottish Borders,0
w/c 2020-03-16,South Lanarkshire,0
w/c 2020-03-16,South Ayrshire,0
w/c 2020-03-16,North Ayrshire,1
w/c 2020-03-16,Moray,0
w/c 2020-03-16,Orkney Islands,0
w/c 2020-03-16,Renfrewshire,2
w/c 2020-03-16,Aberdeenshire,1
w/c 2020-03-16,City of Edinburgh,1
w/c 2020-03-16,Argyll and Bute,0
w/c 2020-03-16,Aberdeen City,1
w/c 2020-03-16,Stirling,0
w/c 2020-03-23,West Lothian,2
w/c 2020-03-23,West Dunbartonshire,2
w/c 2020-03-23,Aberdeenshire,1
w/c 2020-03-23,Argyll and Bute,5
w/c 2020-03-23,Aberdeen City,0
w/c 2020-03-23,Renfrewshire,0
w/c 2020-03-23,City of Edinburgh,3
w/c 2020-03-23,Perth and Kinross,2
w/c 2020-03-23,Glasgow City,7
w/c 2020-03-23,North Lanarkshire,5
w/c 2020-03-23,Dundee City,0
w/c 2020-03-23,Angus,1
w/c 2020-03-23,Fife,4
w/c 2020-03-23,East Dunbartonshire,0
w/c 2020-03-23,Na h-Eileanan Siar,0
w/c 2020-03-23,Falkirk,6
w/c 2020-03-23,East Renfrewshire,1
w/c 2020-03-23,Inverclyde,3
w/c 2020-03-23,Highland,0
w/c 2020-03-23,Dumfries and Galloway,0
w/c 2020-03-23,Clackmannanshire,1
w/c 2020-03-23,East Lothian,0
w/c 2020-03-23,East Ayrshire,3
w/c 2020-03-23,Shetland Islands,0
w/c 2020-03-23,South Ayrshire,1
w/c 2020-03-23,Scottish Borders,3
w/c 2020-03-23,Stirling,0
w/c 2020-03-23,South Lanarkshire,3
w/c 2020-03-23,Moray,2
w/c 2020-03-23,Midlothian,2
w/c 2020-03-23,Orkney Islands,0
w/c 2020-03-23,North Ayrshire,5
w/c 2020-03-30,Stirling,11
w/c 2020-03-30,Dundee City,8
w/c 2020-03-30,Aberdeenshire,4
w/c 2020-03-30,Aberdeen City,2
w/c 2020-03-30,South Ayrshire,4
w/c 2020-03-30,Shetland Islands,1
w/c 2020-03-30,South Lanarkshire,12
w/c 2020-03-30,West Lothian,8
w/c 2020-03-30,East Dunbartonshire,7
w/c 2020-03-30,West Dunbartonshire,16
w/c 2020-03-30,Renfrewshire,15
w/c 2020-03-30,City of Edinburgh,17
w/c 2020-03-30,Argyll and Bute,4
w/c 2020-03-30,Angus,2
w/c 2020-03-30,Dumfries and Galloway,12
w/c 2020-03-30,East Ayrshire,3
w/c 2020-03-30,Clackmannanshire,3
w/c 2020-03-30,East Renfrewshire,5
w/c 2020-03-30,East Lothian,2
w/c 2020-03-30,Moray,0
w/c 2020-03-30,North Ayrshire,10
w/c 2020-03-30,Scottish Borders,13
w/c 2020-03-30,Orkney Islands,0
w/c 2020-03-30,Falkirk,6
w/c 2020-03-30,Highland,7
w/c 2020-03-30,Na h-Eileanan Siar,0
w/c 2020-03-30,Midlothian,5
w/c 2020-03-30,Inverclyde,18
w/c 2020-03-30,Glasgow City,46
w/c 2020-03-30,North Lanarkshire,28
w/c 2020-03-30,Fife,9
w/c 2020-03-30,Perth and Kinross,4
w/c 2020-04-06,North Ayrshire,15
w/c 2020-04-06,Moray,2
w/c 2020-04-06,Orkney Islands,2
w/c 2020-04-06,Scottish Borders,15
w/c 2020-04-06,Midlothian,11
w/c 2020-04-06,North Lanarkshire,46
w/c 2020-04-06,Stirling,12
w/c 2020-04-06,Aberdeenshire,21
w/c 2020-04-06,Argyll and Bute,7
w/c 2020-04-06,Aberdeen City,12
w/c 2020-04-06,Shetland Islands,4
w/c 2020-04-06,South Ayrshire,15
w/c 2020-04-06,South Lanarkshire,44
w/c 2020-04-06,City of Edinburgh,61
w/c 2020-04-06,Renfrewshire,26
w/c 2020-04-06,East Lothian,21
w/c 2020-04-06,East Renfrewshire,15
w/c 2020-04-06,West Lothian,15
w/c 2020-04-06,West Dunbartonshire,17
w/c 2020-04-06,Clackmannanshire,3
w/c 2020-04-06,Dumfries and Galloway,9
w/c 2020-04-06,East Ayrshire,10
w/c 2020-04-06,Dundee City,21
w/c 2020-04-06,Inverclyde,29
w/c 2020-04-06,Glasgow City,97
w/c 2020-04-06,Fife,31
w/c 2020-04-06,Perth and Kinross,9
w/c 2020-04-06,East Dunbartonshire,9
w/c 2020-04-06,Angus,7
w/c 2020-04-06,Na h-Eileanan Siar,0
w/c 2020-04-06,Highland,6
w/c 2020-04-06,Falkirk,17
w/c 2020-04-13,Aberdeenshire,25
w/c 2020-04-13,Argyll and Bute,12
w/c 2020-04-13,Renfrewshire,33
w/c 2020-04-13,City of Edinburgh,64
w/c 2020-04-13,South Ayrshire,26
w/c 2020-04-13,South Lanarkshire,44
w/c 2020-04-13,Shetland Islands,1
w/c 2020-04-13,Aberdeen City,18
w/c 2020-04-13,Stirling,11
w/c 2020-04-13,East Dunbartonshire,12
w/c 2020-04-13,Fife,39
w/c 2020-04-13,Dundee City,29
w/c 2020-04-13,Perth and Kinross,10
w/c 2020-04-13,West Dunbartonshire,17
w/c 2020-04-13,Angus,12
w/c 2020-04-13,West Lothian,8
w/c 2020-04-13,East Lothian,21
w/c 2020-04-13,Dumfries and Galloway,10
w/c 2020-04-13,East Ayrshire,12
w/c 2020-04-13,Na h-Eileanan Siar,0
w/c 2020-04-13,East Renfrewshire,14
w/c 2020-04-13,Falkirk,16
w/c 2020-04-13,Inverclyde,26
w/c 2020-04-13,Highland,9
w/c 2020-04-13,Orkney Islands,0
w/c 2020-04-13,North Ayrshire,13
w/c 2020-04-13,Scottish Borders,7
w/c 2020-04-13,Clackmannanshire,4
w/c 2020-04-13,Moray,0
w/c 2020-04-13,Midlothian,16
w/c 2020-04-13,North Lanarkshire,46
w/c 2020-04-13,Glasgow City,95
w/c 2020-04-20,South Ayrshire,17
w/c 2020-04-20,Dundee City,27
w/c 2020-04-20,South Lanarkshire,50
w/c 2020-04-20,Fife,33
w/c 2020-04-20,Perth and Kinross,13
w/c 2020-04-20,Shetland Islands,0
w/c 2020-04-20,East Dunbartonshire,18
w/c 2020-04-20,Stirling,5
w/c 2020-04-20,Aberdeen City,15
w/c 2020-04-20,Renfrewshire,40
w/c 2020-04-20,Argyll and Bute,14
w/c 2020-04-20,Aberdeenshire,23
w/c 2020-04-20,West Lothian,12
w/c 2020-04-20,Angus,19
w/c 2020-04-20,West Dunbartonshire,19
w/c 2020-04-20,City of Edinburgh,72
w/c 2020-04-20,Na h-Eileanan Siar,0
w/c 2020-04-20,East Renfrewshire,13
