Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S12000005,Clackmannanshire,0,0,0,0,0,0,13,25.2231276678308
20200228,S12000006,Dumfries & Galloway,0,0,0,0,0,0,21,14.1072148327287
20200228,S12000008,East Ayrshire,0,0,0,0,0,0,10,8.196049504139
20200228,S12000010,East Lothian,0,0,0,0,0,0,13,12.1393220655523
20200228,S12000011,East Renfrewshire,0,0,0,0,0,0,6,6.280749502774
20200228,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988
20200228,S12000014,Falkirk,0,0,0,0,0,0,24,14.9170240537013
20200228,S12000017,Highland,0,0,0,0,0,0,31,13.1450621210194
20200228,S12000018,Inverclyde,0,0,0,0,0,0,8,10.2827763496144
20200228,S12000019,Midlothian,0,0,0,0,0,0,15,16.2232316677482
20200228,S12000020,Moray,0,0,0,0,0,0,10,10.436234606554
20200228,S12000021,North Ayrshire,0,0,0,0,0,0,15,11.1325515808223
20200228,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493
20200228,S12000026,Scottish Borders,0,0,0,0,0,0,26,22.5088736905896
20200228,S12000027,Shetland Islands,0,0,0,0,0,0,0,0
20200228,S12000028,South Ayrshire,0,0,0,0,0,0,4,3.55208240831187
20200228,S12000029,South Lanarkshire,0,0,0,0,0,0,26,8.1115652201042
20200228,S12000030,Stirling,0,0,0,0,0,0,20,21.2291688780384
20200228,S12000033,Aberdeen City,0,0,0,0,0,0,37,16.1805221498229
20200228,S12000034,Aberdeenshire,0,0,0,0,0,0,35,13.3991807358064
20200228,S12000035,Argyll & Bute,0,0,0,0,0,0,3,3.49365319669268
20200228,S12000036,City of Edinburgh,0,0,0,0,0,0,125,23.8126988360353
20200228,S12000038,Renfrewshire,0,0,0,0,0,0,17,9.49190396426577
20200228,S12000039,West Dunbartonshire,0,0,0,0,0,0,7,7.87135949623299
20200228,S12000040,West Lothian,0,0,0,0,0,0,29,15.8383397050792
20200228,S12000041,Angus,1,1,0.860585197934596,0,0,0,29,24.9569707401033
20200228,S12000042,Dundee City,0,0,0,0,0,0,21,14.0637556924725
20200228,S12000045,East Dunbartonshire,0,0,0,0,0,0,10,9.20471281296023
20200228,S12000047,Fife,0,0,0,0,0,0,65,17.4006157140945
20200228,S12000048,Perth & Kinross,0,0,0,0,0,0,28,18.4271141822968
20200228,S12000049,Glasgow City,0,0,0,0,0,0,69,10.8984078847612
20200228,S12000050,North Lanarkshire,0,0,0,0,0,0,32,9.37399302809269
20200229,S12000005,Clackmannanshire,0,0,0,0,0,0,13,25.2231276678308
20200229,S12000006,Dumfries & Galloway,0,0,0,0,0,0,28,18.8096197769717
20200229,S12000008,East Ayrshire,0,0,0,0,0,0,11,9.01565445455291
20200229,S12000010,East Lothian,0,0,0,0,0,0,15,14.0069100756373
20200229,S12000011,East Renfrewshire,0,0,0,0,0,0,6,6.280749502774
20200229,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988
20200229,S12000014,Falkirk,0,0,0,0,0,0,31,19.2678227360308
20200229,S12000017,Highland,0,0,0,0,0,0,34,14.4171649069245
20200229,S12000018,Inverclyde,0,0,0,0,0,0,9,11.5681233933162
20200229,S12000019,Midlothian,0,0,0,0,0,0,15,16.2232316677482
20200229,S12000020,Moray,0,0,0,0,0,0,11,11.4798580672094
20200229,S12000021,North Ayrshire,0,0,0,0,0,0,17,12.6168917915986
20200229,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493
20200229,S12000026,Scottish Borders,0,0,0,0,0,0,28,24.2403255129426
20200229,S12000027,Shetland Islands,0,0,0,0,0,0,0,0
20200229,S12000028,South Ayrshire,0,0,0,0,0,0,5,4.44010301038984
20200229,S12000029,South Lanarkshire,0,0,0,0,0,0,30,9.35949833088947
20200229,S12000030,Stirling,0,0,0,0,0,0,24,25.4750026536461
20200229,S12000033,Aberdeen City,0,0,0,0,0,0,37,16.1805221498229
20200229,S12000034,Aberdeenshire,0,0,0,0,0,0,38,14.5476819417327
20200229,S12000035,Argyll & Bute,0,0,0,0,0,0,3,3.49365319669268
20200229,S12000036,City of Edinburgh,0,0,0,0,0,0,127,24.1937020174118
20200229,S12000038,Renfrewshire,0,0,0,0,0,0,19,10.608598548297
20200229,S12000039,West Dunbartonshire,0,0,0,0,0,0,7,7.87135949623299
20200229,S12000040,West Lothian,0,0,0,0,0,0,30,16.3844893500819
20200229,S12000041,Angus,0,1,0.860585197934596,0,0,0,29,24.9569707401033
20200229,S12000042,Dundee City,0,0,0,0,0,0,22,14.733458344495
20200229,S12000045,East Dunbartonshire,0,0,0,0,0,0,13,11.9661266568483
20200229,S12000047,Fife,0,0,0,0,0,0,70,18.7391246151787
20200229,S12000048,Perth & Kinross,0,0,0,0,0,0,28,18.4271141822968
20200229,S12000049,Glasgow City,0,0,0,0,0,0,82,12.9517311094263
20200229,S12000050,North Lanarkshire,0,0,0,0,0,0,36,10.5457421566043
20200301,S12000005,Clackmannanshire,1,1,1.94024058983314,0,0,0,14,27.1633682576639
20200301,S12000006,Dumfries & Galloway,0,0,0,0,0,0,32,21.496708316539
20200301,S12000008,East Ayrshire,0,0,0,0,0,0,15,12.2940742562085
20200301,S12000010,East Lothian,0,0,0,0,0,0,16,14.9407040806798
20200301,S12000011,East Renfrewshire,0,0,0,0,0,0,10,10.4679158379567
20200301,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988
20200301,S12000014,Falkirk,0,0,0,0,0,0,32,19.889365404935
20200301,S12000017,Highland,0,0,0,0,0,0,34,14.4171649069245
20200301,S12000018,Inverclyde,0,0,0,0,0,0,12,15.4241645244216
20200301,S12000019,Midlothian,0,0,0,0,0,0,16,17.3047804455981
20200301,S12000020,Moray,1,1,1.0436234606554,0,0,0,12,12.5234815278647
20200301,S12000021,North Ayrshire,0,0,0,0,0,0,19,14.1012320023749
20200301,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493
20200301,S12000026,Scottish Borders,0,0,0,0,0,0,30,25.9717773352956
20200301,S12000027,Shetland Islands,0,0,0,0,0,0,0,0
20200301,S12000028,South Ayrshire,0,0,0,0,0,0,6,5.32812361246781
20200301,S12000029,South Lanarkshire,0,0,0,0,0,0,33,10.2954481639784
20200301,S12000030,Stirling,0,0,0,0,0,0,26,27.59791954145
20200301,S12000033,Aberdeen City,0,0,0,0,0,0,40,17.4924563781869
20200301,S12000034,Aberdeenshire,0,0,0,0,0,0,39,14.9305156770415
20200301,S12000035,Argyll & Bute,0,0,0,0,0,0,4,4.6582042622569
20200301,S12000036,City of Edinburgh,0,0,0,0,0,0,139,26.4797211056712
20200301,S12000038,Renfrewshire,0,0,0,0,0,0,25,13.9586823003908
20200301,S12000039,West Dunbartonshire,0,0,0,0,0,0,8,8.99583942426628
20200301,S12000040,West Lothian,0,0,0,0,0,0,32,17.4767886400874
20200301,S12000041,Angus,0,1,0.860585197934596,0,0,0,31,26.6781411359725
20200301,S12000042,Dundee City,0,0,0,0,0,0,22,14.733458344495
20200301,S12000045,East Dunbartonshire,0,0,0,0,0,0,15,13.8070692194404
20200301,S12000047,Fife,0,0,0,0,0,0,71,19.0068263953955
20200301,S12000048,Perth & Kinross,0,0,0,0,0,0,28,18.4271141822968
20200301,S12000049,Glasgow City,0,0,0,0,0,0,93,14.6891584533738
20200301,S12000050,North Lanarkshire,0,0,0,0,0,0,41,12.0104285672438
20200302,S12000005,Clackmannanshire,0,1,1.94024058983314,0,0,0,17,32.9840900271634
20200302,S12000006,Dumfries & Galloway,0,0,0,0,0,0,44,29.5579739352412
20200302,S12000008,East Ayrshire,0,0,0,0,0,0,16,13.1136792066224
20200302,S12000010,East Lothian,0,0,0,0,0,0,22,20.5434681109347
20200302,S12000011,East Renfrewshire,0,0,0,0,0,0,14,14.6550821731393
20200302,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988
20200302,S12000014,Falkirk,0,0,0,0,0,0,36,22.3755360805519
20200302,S12000017,Highland,0,0,0,0,0,0,36,15.2652334308612
20200302,S12000018,Inverclyde,0,0,0,0,0,0,16,20.5655526992288
20200302,S12000019,Midlothian,0,0,0,0,0,0,20,21.6309755569976
20200302,S12000020,Moray,0,1,1.0436234606554,0,0,0,13,13.5671049885201
20200302,S12000021,North Ayrshire,1,1,0.742170105388155,0,0,0,23,17.0699124239276
20200302,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493
20200302,S12000026,Scottish Borders,0,0,0,0,0,0,33,28.5689550688252
20200302,S12000027,Shetland Islands,0,0,0,0,0,0,0,0
20200302,S12000028,South Ayrshire,0,0,0,0,0,0,9,7.99218541870171
20200302,S12000029,South Lanarkshire,0,0,0,0,0,0,51,15.9111471625121
20200302,S12000030,Stirling,0,0,0,0,0,0,34,36.0895870926653
20200302,S12000033,Aberdeen City,0,0,0,0,0,0,50,21.8655704727336
20200302,S12000034,Aberdeenshire,0,0,0,0,0,0,45,17.227518088894
20200302,S12000035,Argyll & Bute,0,0,0,0,0,0,4,4.6582042622569
20200302,S12000036,City of Edinburgh,0,0,0,0,0,0,169,32.1947688263197
20200302,S12000038,Renfrewshire,0,0,0,0,0,0,35,19.5421552205472
20200302,S12000039,West Dunbartonshire,0,0,0,0,0,0,14,15.742718992466
20200302,S12000040,West Lothian,0,0,0,0,0,0,37,20.207536865101
20200302,S12000041,Angus,0,1,0.860585197934596,0,0,0,34,29.2598967297762
20200302,S12000042,Dundee City,0,0,0,0,0,0,24,16.07286364854
20200302,S12000045,East Dunbartonshire,0,0,0,0,0,0,21,19.3298969072165
20200302,S12000047,Fife,0,0,0,0,0,0,84,22.4869495382144
20200302,S12000048,Perth & Kinross,0,0,0,0,0,0,29,19.0852254030931
20200302,S12000049,Glasgow City,0,0,0,0,0,0,130,20.5332322466515
20200302,S12000050,North Lanarkshire,0,0,0,0,0,0,51,14.9398013885227
20200303,S12000005,Clackmannanshire,1,2,3.88048117966628,0,0,0,20,38.8048117966628
20200303,S12000006,Dumfries & Galloway,0,0,0,0,0,0,54,36.2756952841596
20200303,S12000008,East Ayrshire,0,0,0,0,0,0,21,17.2117039586919
20200303,S12000010,East Lothian,0,0,0,0,0,0,25,23.3448501260622
20200303,S12000011,East Renfrewshire,0,0,0,0,0,0,15,15.701873756935
20200303,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,2,7.48502994011976
20200303,S12000014,Falkirk,0,0,0,0,0,0,49,30.4555907763068
20200303,S12000017,Highland,0,0,0,0,0,0,40,16.9613704787347
20200303,S12000018,Inverclyde,0,0,0,0,0,0,19,24.4215938303342
20200303,S12000019,Midlothian,0,0,0,0,0,0,32,34.6095608911962
20200303,S12000020,Moray,0,1,1.0436234606554,0,0,0,14,14.6107284491755
20200303,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,27,20.0385928454802
20200303,S12000023,Orkney Islands,0,0,0,0,0,0,5,22.4517287831163
20200303,S12000026,Scottish Borders,0,0,0,0,0,0,35,30.3004068911783
20200303,S12000027,Shetland Islands,0,0,0,0,0,0,0,0
20200303,S12000028,South Ayrshire,0,0,0,0,0,0,16,14.2083296332475
20200303,S12000029,South Lanarkshire,0,0,0,0,0,0,72,22.4627959941347
20200303,S12000030,Stirling,0,0,0,0,0,0,34,36.0895870926653
20200303,S12000033,Aberdeen City,0,0,0,0,0,0,54,23.6148161105523
20200303,S12000034,Aberdeenshire,1,1,0.382833735308755,0,0,0,51,19.5245205007465
20200303,S12000035,Argyll & Bute,0,0,0,0,0,0,10,11.6455106556422
20200303,S12000036,City of Edinburgh,0,0,0,0,0,0,190,36.1953022307736
20200303,S12000038,Renfrewshire,0,0,0,0,0,0,38,21.2171970965941
20200303,S12000039,West Dunbartonshire,1,1,1.12447992803328,0,0,0,20,22.4895985606657
20200303,S12000040,West Lothian,0,0,0,0,0,0,47,25.6690333151283
20200303,S12000041,Angus,0,1,0.860585197934596,0,0,0,35,30.1204819277108
20200303,S12000042,Dundee City,0,0,0,0,0,0,32,21.4304848647201
20200303,S12000045,East Dunbartonshire,0,0,0,0,0,0,25,23.0117820324006
20200303,S12000047,Fife,0,0,0,0,0,0,95,25.4316691205997
20200303,S12000048,Perth & Kinross,0,0,0,0,0,0,39,25.6663376110563
20200303,S12000049,Glasgow City,0,0,0,0,0,0,171,27.0090978013647
20200303,S12000050,North Lanarkshire,0,0,0,0,0,0,61,17.8691742098017
20200304,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,23,44.6255335661622
20200304,S12000006,Dumfries & Galloway,0,0,0,0,0,0,64,42.9934166330781
20200304,S12000008,East Ayrshire,0,0,0,0,0,0,22,18.0313089091058
20200304,S12000010,East Lothian,0,0,0,0,0,0,30,28.0138201512746
20200304,S12000011,East Renfrewshire,0,0,0,0,0,0,21,21.982623259709
20200304,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,3,11.2275449101796
20200304,S12000014,Falkirk,1,1,0.62154266890422,0,0,0,59,36.671017465349
20200304,S12000017,Highland,0,0,0,0,0,0,47,19.9296103125133
20200304,S12000018,Inverclyde,0,0,0,0,0,0,20,25.706940874036
20200304,S12000019,Midlothian,0,0,0,0,0,0,34,36.772658446896
20200304,S12000020,Moray,1,2,2.08724692131079,0,0,0,16,16.6979753704863
20200304,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,34,25.2337835831973
20200304,S12000023,Orkney Islands,0,0,0,0,0,0,5,22.4517287831163
20200304,S12000026,Scottish Borders,0,0,0,0,0,0,38,32.8975846247078
20200304,S12000027,Shetland Islands,0,0,0,0,0,0,1,4.3630017452007
20200304,S12000028,South Ayrshire,0,0,0,0,0,0,17,15.0963502353255
