Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF
20200228,S08000015,NHS Ayrshire & Arran,0,0,0,,0,0,0,8,28,7.580680095,9,0,0,0,9,0,,:,,:
20200228,S08000016,NHS Borders,0,0,0,,0,0,0,3,25,21.64314778,3,0,0,0,3,0,,:,,:
20200228,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,9,21,14.10721483,9,0,0,0,9,0,,:,,:
20200228,S08000019,NHS Forth Valley,0,0,0,,0,0,0,14,60,19.56691886,20,0,0,0,20,0,,:,,:
20200228,S08000020,NHS Grampian,0,0,0,,0,0,0,6,89,15.19549257,6,0,0,0,6,0,,:,,:
20200228,S08000022,NHS Highland,0,0,0,,0,0,0,4,35,10.87970159,4,0,0,0,4,0,,:,,:
20200228,S08000024,NHS Lothian,0,0,0,,0,0,0,47,190,20.93479363,51,0,0,0,51,0,,:,,:
20200228,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.96138303,0,0,0,0,0,0,,:,,:
20200228,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200228,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,0,0,2,0,0,0,2,0,,:,,:
20200228,S08000029,NHS Fife,0,0,0,,0,0,0,13,65,17.40061571,14,0,0,0,14,0,,:,,:
20200228,S08000030,NHS Tayside,1,1,0.23953817,,0,0,0,6,87,20.83982083,8,2,25,0,8,0,,:,,:
20200228,S08000031,NHS Greater Glasgow & Clyde,0,1,0.08452228,,0,0,0,19,129,10.90337413,28,0,0,0,28,0,,:,,:
20200228,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,9,60,9.064813416,10,0,0,0,10,0,,:,,:
20200228,S92000003,Scotland,1,2,0.036607911,,0,0,0,138,793,14.5150367,164,2,1.2195121999999998,0,164,0,,:,,:
20200229,S08000015,NHS Ayrshire & Arran,0,0,0,,0,0,0,4,32,8.663634395,4,0,0,0,4,0,,:,,:
20200229,S08000016,NHS Borders,0,0,0,,0,0,0,2,27,23.3745996,3,0,0,0,3,0,,:,,:
20200229,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,7,28,18.80961978,8,0,0,0,8,0,,:,,:
20200229,S08000019,NHS Forth Valley,0,0,0,,0,0,0,11,71,23.15418732,14,0,0,0,14,0,,:,,:
20200229,S08000020,NHS Grampian,0,0,0,,0,0,0,5,94,16.04917193,5,0,0,0,5,0,,:,,:
20200229,S08000022,NHS Highland,0,0,0,,0,0,0,3,38,11.81224744,4,0,0,0,4,0,,:,,:
20200229,S08000024,NHS Lothian,0,0,0,,0,0,0,5,195,21.48570925,5,0,0,0,5,0,,:,,:
20200229,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.96138303,0,0,0,0,0,0,,:,,:
20200229,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200229,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200229,S08000029,NHS Fife,0,0,0,,0,0,0,5,70,18.73912462,5,0,0,0,5,0,,:,,:
20200229,S08000030,NHS Tayside,0,1,0.23953817,,0,0,0,1,88,21.079359,1,0,0,0,1,0,,:,,:
20200229,S08000031,NHS Greater Glasgow & Clyde,0,1,0.08452228,,0,0,0,20,149,12.59381973,30,0,0,0,30,0,,:,,:
20200229,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,9,69,10.42453543,11,0,0,0,11,0,,:,,:
20200229,S92000003,Scotland,0,2,0.036607911,,0,0,0,72,865,15.83292149,90,0,0,0,90,0,,:,,:
20200301,S08000015,NHS Ayrshire & Arran,0,0,0,,0,0,0,7,39,10.55880442,7,0,0,0,7,0,,:,,:
20200301,S08000016,NHS Borders,0,0,0,,0,0,0,2,29,25.10605142,3,0,0,0,3,0,,:,,:
20200301,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,4,32,21.49670832,4,0,0,0,4,0,,:,,:
20200301,S08000019,NHS Forth Valley,1,1,0.326115314,,0,0,0,4,75,24.45864858,6,1,16.6666667,0,6,0,,:,,:
20200301,S08000020,NHS Grampian,1,1,0.170735872,,0,0,0,5,99,16.90285129,7,1,14.285714299999999,0,7,0,,:,,:
20200301,S08000022,NHS Highland,0,0,0,,0,0,0,1,39,12.12309605,1,0,0,0,1,0,,:,,:
20200301,S08000024,NHS Lothian,0,0,0,,0,0,0,18,213,23.46900549,21,0,0,0,21,0,,:,,:
20200301,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.96138303,0,0,0,0,0,0,,:,,:
20200301,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200301,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200301,S08000029,NHS Fife,0,0,0,,0,0,0,1,71,19.0068264,2,0,0,0,2,0,,:,,:
